Price,Title,Location,Date,Url
19.99,Докинг станция за лаптоп Lenovo Thinkpad с ключове + Гаранция,"гр. Бургас, Лазур",днес 07:38,https://www.olx.bg/ad/doking-stantsiya-za-laptop-lenovo-thinkpad-s-klyuchove-garantsiya-CID632-ID6r5XK.html#d42fcfef71
22.0,DVD записвачка за Lenovo Thinkpad,"гр. София, Витоша",днес 19:52,https://www.olx.bg/ad/dvd-zapisvachka-za-lenovo-thinkpad-CID632-ID86toC.html#d42fcfef71
379.0,Док станция ThinkPad Ultra модел 40AJ0135UK / EU,"гр. София, Дианабад",днес 08:59,https://www.olx.bg/ad/dok-stantsiya-thinkpad-ultra-model-40aj0135uk-eu-CID632-ID7HqIr.html#d42fcfef71
19.99,Докинг станция за лаптоп Lenovo Thinkpad с ключове + Гаранция,"гр. Бургас, Лазур",днес 07:38,https://www.olx.bg/ad/doking-stantsiya-za-laptop-lenovo-thinkpad-s-klyuchove-garantsiya-CID632-ID6r5XK.html#d42fcfef71
40.0,Работещ Lenovo ThinkPad Edge E320 на части,"гр. Варна, Възраждане 1",вчера 22:07,https://www.olx.bg/ad/rabotesch-lenovo-thinkpad-edge-e320-na-chasti-CID632-ID7Ld2w.html#d42fcfef71
15.0,Touchpad sticker for Thinkpad lenovo W530 Т520 T420 T410 T400S T400S T,"гр. София, 7-ми 11-ти километър",вчера 18:09,https://www.olx.bg/ad/touchpad-sticker-for-thinkpad-lenovo-w530-t520-t420-t410-t400s-t400s-t-CID632-ID6CnxD.html#d42fcfef71
13.0,"Вентилатор за Lenovo ThinkPad T420s, T430s","гр. Пловдив, Каменица 2",14  апр,https://www.olx.bg/ad/ventilator-za-lenovo-thinkpad-t420s-t430s-CID632-ID8a1hk.html#d42fcfef71
20.0,Оригинално зарядно за IBM Thinkpad,"гр. София, Младост 1",14  апр,https://www.olx.bg/ad/originalno-zaryadno-za-ibm-thinkpad-CID632-ID6oyr6.html#d42fcfef71
20.0,Докинг станция Lenovo ThinkPad,"гр. Русе, Басарбово",14  апр,https://www.olx.bg/ad/doking-stantsiya-lenovo-thinkpad-CID632-ID86lIH.html#d42fcfef71
20.0,HDD Caddy Cover w/Screw for IBM FOR Thinkpad X60T X61,"гр. София, Люлин - център",14  апр,https://www.olx.bg/ad/hdd-caddy-cover-w-screw-for-ibm-for-thinkpad-x60t-x61-CID632-ID82DHw.html#d42fcfef71
65.0,Thinkpad t60 за части,гр. Казанлък,14  апр,https://www.olx.bg/ad/thinkpad-t60-za-chasti-CID632-ID7VN3T.html#d42fcfef71
70.0,Lenovo Thinkpad X240 X250 LCD дисплеи,гр. Дупница,13  апр,https://www.olx.bg/ad/lenovo-thinkpad-x240-x250-lcd-displei-CID632-ID84hvr.html#d42fcfef71
45.0,Lenovo Thinkpad Essential Port Replicator,гр. Казанлък,13  апр,https://www.olx.bg/ad/lenovo-thinkpad-essential-port-replicator-CID632-ID4yy2m.html#d42fcfef71
40.0,Клавиатура с подцветка за Lenovo Thinkpad X240/x250/x260 като,"гр. София, Люлин 7",13  апр,https://www.olx.bg/ad/klaviatura-s-podtsvetka-za-lenovo-thinkpad-x240-x250-x260-kato-CID632-ID89WjZ.html#d42fcfef71
4.0,Клавиши за Thinkpad L540/T560/W540/T540P/W541/T550/W550S/L560,"гр. София, Орландовци",13  апр,https://www.olx.bg/ad/klavishi-za-thinkpad-l540-t560-w540-t540p-w541-t550-w550s-l560-CID632-ID89TZr.html#d42fcfef71
20.0,Lenovo Thinkpad L540-долен капак,"гр. София, Орландовци",13  апр,https://www.olx.bg/ad/lenovo-thinkpad-l540-dolen-kapak-CID632-ID89TVX.html#d42fcfef71
20.0,Lenovo Thinkpad L540-оригинален безел,"гр. София, Орландовци",13  апр,https://www.olx.bg/ad/lenovo-thinkpad-l540-originalen-bezel-CID632-ID89TVK.html#d42fcfef71
30.0,Lenovo Thinkpad L540-преден панел,"гр. София, Орландовци",13  апр,https://www.olx.bg/ad/lenovo-thinkpad-l540-preden-panel-CID632-ID89TWz.html#d42fcfef71
