Price,Title,Location,Date,Url
165 лв.,Дъно MSI H61M-P31/W8 Процесор ЦПУ CPU Intel i5 3470 и охладител AKASA,"гр. Пловдив, Тракия",13  апр,https://www.olx.bg/ad/dano-msi-h61m-p31-w8-protsesor-tspu-cpu-intel-i5-3470-i-ohladitel-akasa-CID632-ID88szn.html#2c6fe5110d
147 лв.,Дънна платка Gigabyte B450M DS3H AM4 Ryzen 3000 CPU,"гр. София, Орландовци",днес 17:03,https://www.olx.bg/ad/danna-platka-gigabyte-b450m-ds3h-am4-ryzen-3000-cpu-CID632-ID83uAF.html#2c6fe5110d
156 лв.,"Дънна платка MSI B450M PRO-VDH MAX AM4, Ryzen 3000 CPU","гр. София, Орландовци",днес 14:40,https://www.olx.bg/ad/danna-platka-msi-b450m-pro-vdh-max-am4-ryzen-3000-cpu-CID632-ID86aso.html#2c6fe5110d
208 лв.,Дънна платка MSI B450 GAMING PLUS MAX AM4 Ryzen 3000 CPU,"гр. София, Орландовци",днес 14:40,https://www.olx.bg/ad/danna-platka-msi-b450-gaming-plus-max-am4-ryzen-3000-cpu-CID632-ID80AAe.html#2c6fe5110d
5 лв.,Кабели 4-pin CPU към 8-pin PCI-E,"гр. Варна, Общината",днес 11:01,https://www.olx.bg/ad/kabeli-4-pin-cpu-kam-8-pin-pci-e-CID632-ID7EvGP.html#2c6fe5110d
10 лв.,"Продавам тв тунер, инвертори за подсветка на лаптоп, рам памет,cpu fan",гр. Поморие,днес 00:50,https://www.olx.bg/ad/prodavam-tv-tuner-invertori-za-podsvetka-na-laptop-ram-pamet-cpu-fan-CID632-ID84wLb.html#2c6fe5110d
55 лв.,Noctua NH-L9i охлаждане за Intel процесори cooler cpu.,"гр. София, Дървеница",вчера 19:28,https://www.olx.bg/ad/noctua-nh-l9i-ohlazhdane-za-intel-protsesori-cooler-cpu-CID632-ID8a5Cv.html#2c6fe5110d
475 лв.,"AM4 AB350-Gaming 3, Ryzen 7 1700X, DeepCool CPU Cooler LUCIFER v2","гр. Варна, Гранд Мол Варна",вчера 10:27,https://www.olx.bg/ad/am4-ab350-gaming-3-ryzen-7-1700x-deepcool-cpu-cooler-lucifer-v2-CID632-ID84lJC.html#2c6fe5110d
20 лв.,Охладител за CPU Dell,"гр. София, Красно село",вчера 09:25,https://www.olx.bg/ad/ohladitel-za-cpu-dell-CID632-ID86mgp.html#2c6fe5110d
60 лв.,"Процесор CPU, Intel Celeron G3930/2.9GHz/2MB Cache/LGA1151","гр. София, Овча купел",14  апр,https://www.olx.bg/ad/protsesor-cpu-intel-celeron-g3930-2-9ghz-2mb-cache-lga1151-CID632-ID8a1v3.html#2c6fe5110d
