Price,Title,Location,Date,Url
4,Кабел 6pin PCI-Е към 8pin (6+2) PCI-Е (PSU to GPU),"гр. Бургас, Център",13  апр,https://www.olx.bg/ad/kabel-6pin-pci-e-kam-8pin-6-2-pci-e-psu-to-gpu-CID632-ID87Ui4.html#3d5a550978
180,Видеокарта GPU Asus Radeon RX 470,"гр. Варна, Гранд Мол Варна",13  апр,https://www.olx.bg/ad/videokarta-gpu-asus-radeon-rx-470-CID632-ID7xrG8.html#3d5a550978
40,видео карта GPU GIGABYTE GV-NX96T512HP,с. Сотиря,11  апр,https://www.olx.bg/ad/video-karta-gpu-gigabyte-gv-nx96t512hp-CID632-ID6RkOz.html#3d5a550978
110,CPU-Q9400+Motherboard-Asus.P5Q3+GPU-5850+RAM DDR3-8G,"гр. София, Сердика",11  апр,https://www.olx.bg/ad/cpu-q9400-motherboard-asus-p5q3-gpu-5850-ram-ddr3-8g-CID632-ID89NAm.html#3d5a550978
589,Видео карта GPU EVGA GTX1080 ACX 3.0 - 8GB GDDR5X,"гр. София, 7-ми 11-ти километър",7  апр,https://www.olx.bg/ad/video-karta-gpu-evga-gtx1080-acx-3-0-8gb-gddr5x-CID632-ID89A4J.html#3d5a550978
68,NVIDIA GeForce Inno3D GTX 560 Ti Видео карта GPU,"гр. Русе, Център",3  апр,https://www.olx.bg/ad/nvidia-geforce-inno3d-gtx-560-ti-video-karta-gpu-CID632-ID87LAE.html#3d5a550978
4,Кабели 6pin/8pin GPU PCIe към 2x8pin (6+2) PCIe. CPU към 2x8pin PCIe!,"гр. София, Изток",3  апр,https://www.olx.bg/ad/kabeli-6pin-8pin-gpu-pcie-kam-2x8pin-6-2-pcie-cpu-kam-2x8pin-pcie-CID632-ID6t5Lo.html#3d5a550978
3499,6 GPU RX580 8GB Mining Rig Sapphire Radeon Pulse,"гр. Варна, Център",3  апр,https://www.olx.bg/ad/6-gpu-rx580-8gb-mining-rig-sapphire-radeon-pulse-CID632-ID7uzBB.html#3d5a550978
80,GeForce GTX 650 GPU,"гр. София, Белите брези",30  мар,https://www.olx.bg/ad/geforce-gtx-650-gpu-CID632-ID81lzk.html#3d5a550978
60,1000W 1800W захранване GPU риг Bitmain Antminer биткойн,"гр. Пловдив, Индустриална зона - Изток",28  мар,https://www.olx.bg/ad/1000w-1800w-zahranvane-gpu-rig-bitmain-antminer-bitkoyn-CID632-ID7QMRG.html#3d5a550978
110,Сървърно захранване HP 2250W Високо КПД за Майнинг Риг 13GPU НАЛИЧНИ,"гр. София, Връбница 2",26  мар,https://www.olx.bg/ad/sarvarno-zahranvane-hp-2250w-visoko-kpd-za-mayning-rig-13gpu-nalichni-CID632-ID7yJJM.html#3d5a550978
270,gaming GPU Video Sapphire Nitro RX 580 8GB ГАРАНЦИЯ,"гр. София, 7-ми 11-ти километър",26  мар,https://www.olx.bg/ad/gaming-gpu-video-sapphire-nitro-rx-580-8gb-garantsiya-CID632-ID80JPT.html#3d5a550978
8500,13x GPU Vega 64 mining rig 3 броя копачки,"гр. Благоевград, Широк център",21  мар,https://www.olx.bg/ad/13x-gpu-vega-64-mining-rig-3-broya-kopachki-CID632-ID7UlCL.html#3d5a550978
98,"Процесор AMD Athlon 200GE (3.2GHz,5MB,35W,AM4) box, Radeon Vega GPU","гр. София, Орландовци",21  мар,https://www.olx.bg/ad/protsesor-amd-athlon-200ge-3-2ghz-5mb-35w-am4-box-radeon-vega-gpu-CID632-ID7BEzf.html#3d5a550978
40,"Компютърни части HP xw4600 ram, CPU, case, fan бартер, GPU","гр. София, Център",20  мар,https://www.olx.bg/ad/kompyutarni-chasti-hp-xw4600-ram-cpu-case-fan-barter-gpu-CID632-ID7gutw.html#3d5a550978
200,Сървърно захранване HP 2450W Високо КПД за Майнинг Риг 13GPU НАЛИЧНИ,"гр. София, Дружба 2",19  мар,https://www.olx.bg/ad/sarvarno-zahranvane-hp-2450w-visoko-kpd-za-mayning-rig-13gpu-nalichni-CID632-ID7d6en.html#3d5a550978
9,*Нови* VER008S PCI-E express 1x to 16x GPU екстендери райзери райзъри,"гр. Пловдив, Център",17  мар,https://www.olx.bg/ad/novi-ver008s-pci-e-express-1x-to-16x-gpu-ekstenderi-rayzeri-rayzari-CID632-ID7GOBs.html#3d5a550978
110,"Процесор AMD Athlon 3000G (3.5GHz,5MB,35W,AM4) box, Radeon Vega 3 GPU","гр. София, Орландовци",16  мар,https://www.olx.bg/ad/protsesor-amd-athlon-3000g-3-5ghz-5mb-35w-am4-box-radeon-vega-3-gpu-CID632-ID86zZE.html#3d5a550978
