Price,Title,Location,Date,Url
576.0,RAID Контролер IBM Lenovo M5210 2GB ServeRAID 12Gb/s CacheCade 46C9111,"гр. София, Център",днес 12:27,https://www.olx.bg/ad/raid-kontroler-ibm-lenovo-m5210-2gb-serveraid-12gb-s-cachecade-46c9111-CID632-ID86Y5i.html#42e1ae9c99
15.99,IBM X21 2662 / ИБМ X21 2662-докплочка за 15 кинти,гр. Полски Тръмбеш,днес 22:06,https://www.olx.bg/ad/ibm-x21-2662-ibm-x21-2662-dokplochka-za-15-kinti-CID632-ID69I7U.html#42e1ae9c99
576.0,RAID Контролер IBM Lenovo M5210 2GB ServeRAID 12Gb/s CacheCade 46C9111,"гр. София, Център",днес 12:27,https://www.olx.bg/ad/raid-kontroler-ibm-lenovo-m5210-2gb-serveraid-12gb-s-cachecade-46c9111-CID632-ID86Y5i.html#42e1ae9c99
20.0,Оригинално зарядно за IBM Thinkpad,"гр. София, Младост 1",14  апр,https://www.olx.bg/ad/originalno-zaryadno-za-ibm-thinkpad-CID632-ID6oyr6.html#42e1ae9c99
20.0,HDD Caddy Cover w/Screw for IBM FOR Thinkpad X60T X61,"гр. София, Люлин - център",14  апр,https://www.olx.bg/ad/hdd-caddy-cover-w-screw-for-ibm-for-thinkpad-x60t-x61-CID632-ID82DHw.html#42e1ae9c99
40.0,Монитор IBM,"гр. Габрово, Център",14  апр,https://www.olx.bg/ad/monitor-ibm-CID632-ID7CTMp.html#42e1ae9c99
50.0,Монитор IBM - 3 броя Намалена цена,"гр. Бургас, Банево",14  апр,https://www.olx.bg/ad/monitor-ibm-3-broya-namalena-tsena-CID632-ID7QgKt.html#42e1ae9c99
80.0,IBM монитор 15’,"гр. Пловдив, Каменица 1",13  апр,https://www.olx.bg/ad/ibm-monitor-15-CID632-ID849Wy.html#42e1ae9c99
12.0,Оригинално зарядно за лаптоп IBM 16V 4.5A,"гр. Сливен, Център",13  апр,https://www.olx.bg/ad/originalno-zaryadno-za-laptop-ibm-16v-4-5a-CID632-ID7FJ7o.html#42e1ae9c99
20.0,1.44 флопи FDD IBM - бяло,гр. Ботевград,13  апр,https://www.olx.bg/ad/1-44-flopi-fdd-ibm-byalo-CID632-ID7IdnS.html#42e1ae9c99
10.0,Floppy disk driver IBM - флопи устройство за дискети,"гр. Плевен, Сторгозия",12  апр,https://www.olx.bg/ad/floppy-disk-driver-ibm-flopi-ustroystvo-za-disketi-CID632-ID86f3o.html#42e1ae9c99
25.0,ЛОТ Оригинален адаптер зарядно за лаптоп Lenovo IBM 40/45/65/90W,"гр. Пловдив, Индустриална зона - Север",12  апр,https://www.olx.bg/ad/lot-originalen-adapter-zaryadno-za-laptop-lenovo-ibm-40-45-65-90w-CID632-ID80XwZ.html#42e1ae9c99
29.0,Сървър IBM xSeries 346 за части,"гр. София, в.з. Симеоново - Драгалевци",12  апр,https://www.olx.bg/ad/sarvar-ibm-xseries-346-za-chasti-CID632-ID6s3fo.html#42e1ae9c99
45.0,Продавам бизнес чанта за лаптоп IBM от естествена кожа,"гр. Варна, Център",11  апр,https://www.olx.bg/ad/prodavam-biznes-chanta-za-laptop-ibm-ot-estestvena-kozha-CID632-ID84dK5.html#42e1ae9c99
20.0,монитор IBM,гр. Казанлък,11  апр,https://www.olx.bg/ad/monitor-ibm-CID632-ID7Psgf.html#42e1ae9c99
20.0,IBM Lenovo Docking Station 02K8668 ThinkPad A20 R30 T20 X20 Port Repli,"гр. Русе, Здравец Изток",9  апр,https://www.olx.bg/ad/ibm-lenovo-docking-station-02k8668-thinkpad-a20-r30-t20-x20-port-repli-CID632-ID80NZv.html#42e1ae9c99
59.0,IBM монитор,"гр. София, Център",8  апр,https://www.olx.bg/ad/ibm-monitor-CID632-ID7QrI0.html#42e1ae9c99
18.0,Зарядно лаптоп IBM Lenovo 7.9 х 5.0 жълта букса Laptop charger Леново,"гр. София, Изток",8  апр,https://www.olx.bg/ad/zaryadno-laptop-ibm-lenovo-7-9-h-5-0-zhalta-buksa-laptop-charger-lenovo-CID632-ID7Y8MR.html#42e1ae9c99
45.0,Клавиатура IBM - KB-9910 PS/2,"гр. Добрич, Център",7  апр,https://www.olx.bg/ad/klaviatura-ibm-kb-9910-ps-2-CID632-ID886Hc.html#42e1ae9c99
10.0,Продавам монитор IBM,"гр. Плевен, Сторгозия",6  апр,https://www.olx.bg/ad/prodavam-monitor-ibm-CID632-ID7AXhW.html#42e1ae9c99
